Model,Rated Power,Max Power,Top Speed,Battery Capacity,Charging Time,Range,,,,,,
Revolt RV 400,3000 W,NA,45-85 kmph,3.24 kWh,4.5 Hrs,80-150 km,,,,,,
Revolt RV 300,1500 W,NA,25-65 kmph,2.7 kWh,4.2 Hrs,80-180 km,,,,,,
Ultraviolette F77,NA,33.5 bhp (25 kW),147 kmph,4.2 kWh,5 Hrs (1.5 Hrs Fast Charge),130-150 km,,,,,,
Ather 450,3300 W,5400 W,80 kmph,2.7 kWh,5 Hrs (80% in 1 Hr Fast Charge),55-75 km,,,,,,
Ather 450X,3300 W,6000 W,80 kmph,2.9 kWh,5 Hrs (80% in 1 Hr Fast Charge),60-85 km,,,,,,
Bajaj Chetak,3800 W,4080 W,78 kmph,3.0 kWh,5 Hrs,85-95 km,,,,,,
TVS iQube Electric,NA,4400 W,78 kmph,4.5 kWh,5 Hrs,75 km,,,,,,
Okinava iPraise,1000 W,2500 W,58 kmph,3.3 kWh,4 Hrs,160 km (Eco),,,,,,
Hero Photon,1000 W,1500 W,45 kmph,2.7 kWh,5 Hrs,110 km (Eco),,,,,,
Ampere Magnus Pro,1200 W,NA,55 kmph,1.8 kWh,5-6 Hrs,75-80 km,,,,,,
Okinawa Ridge Plus,800 W,1700 W,45 kmph,1.74 kWh,3 hours,84 km,,,,,,
Ampere Zeal,1200 W,NA,50-55 kmph,1.8 kWh,5-6 Hrs,85-90 km,,,,,,
Hero Optima ER,600 W,1200 W,40 kmph,2.7 kWh,4-5 Hrs,110 km,,,,,,
Okinawa Lite,250 W,250 W,25 kmph,1.25 kWh,4-5 Hrs,60 km,,,,,,
Tronx One,250 W,250 W,25 kmph,0.48 kWh,3-4 Hrs,50 km,,,,,,
Lightspeed Dryft,250 W,250 W,25 kmph,0.25kWh,4-5 Hrs,50 km,,,,,,
Lectro Zephyr SS,250 W,250 W,25 kmph,0.208 kWh,4 Hrs,30 km,,,,,,
Ather 450,3300 W,5400 W,80 kmph,2.7 kWh,5 Hrs (80% in 1 Hr Fast Charge),55-75 km,,,,,,
Ather 450X,3300 W,6000 W,80 kmph,2.9 kWh,5 Hrs (80% in 1 Hr Fast Charge),60-85 km,,,,,,
Revolt RV 400,3000 W,NA,45-85 kmph,3.24 kWh,4.5 Hrs,80-150 km,,,,,,
Revolt RV 300,1500 W,NA,25-65 kmph,2.7 kWh,4.2 Hrs,80-180 km,,,,,,
Bajaj Chetak,3800 W,4080 W,78 kmph,3.0 kWh,5 Hrs,85-95 km,,,,,,
TVS iQube Electric,NA,4400 W,78 kmph,4.5 kWh,5 Hrs,75 km,,,,,,
Ultraviolette F77,NA,33.5 bhp (25 kW),147 kmph,4.2 kWh,5 Hrs (1.5 Hrs Fast Charge),130-150 km,,,,,,
Okinava iPraise,1000 W,2500 W,58 kmph,3.3 kWh,4 Hrs,160 km (Eco),,,,,,
Hero Photon,1000 W,1500 W,45 kmph,2.7 kWh,5 Hrs,110 km (Eco),,,,,,
Hero Optima ER,600 W,1200 W,40 kmph,2.7 kWh,4-5 Hrs,110 km,,,,,,
Ampere Magnus Pro,1200 W,NA,55 kmph,1.8 kWh,5-6 Hrs,75-80 km,,,,,,
Ampere Zeal,1200 W,NA,55 kmph,1.8 kWh,5-6 Hrs,85-90 km,,,,,,
Hero Electric Photon,1500 W,,45 kmph,1.34 kWh,,110 km,,,,,,
Hero Electric Dash,250 W,,25 kmph,1.34 kWh,,60 km,,,,,,
Techo Electra Emerge,250 W,,25 kmph,1.8 kWh,,100 km,,,,,,
Ampere Zeal,1200 W,,55 kmph,1.8 kWh,,75 km,,,,,,
Joy E-Bike Glob,250 W,,25 kmph,1.38 kWh,,60 km,,,,,,
Pure EV EPluto,250 W,,25 kmph,1.8 kWh,,80 km,,,,,,
Okinawa Ridge Plus,1700 W,,55 kmph,1.75 kWh,,100 km,,,,,,
Ampere Magnus Pro,1200 W,,55 kmph,1.8 kWh,,80 km,,,,,,
Okinawa Praise,2500 W,,58 kmph,2 kWh,,110 km,,,,,,
Gemopai Astrid Lite,2400 W,,60 kmph,1.73 kWh,,90 km,,,,,,
Pure EV EPluto 7G,2200 W,,60 kmph,2.5 kWh,,120 km,,,,,,
Benling Aura,2.5 kW,,60 kmph,N/A,,120 km,,,,,,
TVS iQube,4.4 kW,,78 kmph,2.25 kWh,,75 km,,,,,,
Okinawa iPraise,2.5 kW,,70 kmph,3.3 kWh,,139 km,,,,,,
Revolt RV300,1.5 kW,,65 kmph,2.7 kWh,,180 km,,,,,,
Bajaj Chetak Electric,4.08 kW,,70 kmph,3 kWh,,95 km,,,,,,
Kabira KM 3000,6 kW,,100 kmph,4 kWh,,120 km,,,,,,
Ather 450X,6 kW,,80 kmph,2.9 kWh,,85 km,,,,,,
Revolt RV400,3 kW,,85 kmph,3.24 kWh,,150 km,,,,,,
Kabira KM 4000,8 kW,,120 kmph,4.4 kWh,,150 km,,,,,,
SVM Prana,4 kW,,123 kmph,4.32 kWh,,126 km,,,,,,
